QKEY,INTERVIEW_START_W69,INTERVIEW_END_W69,DEVICE_TYPE_W69,LANG_W69,FORM_W69,SATIS_W69,POL1DT_W69,POL1DTSTR_W69,FUTGEN_W69,FEEL_COUNTRY_ANGRY_W69,FEEL_COUNTRY_FEAR_W69,FEEL_COUNTRY_HOPEFUL_W69,FEEL_COUNTRY_PROUD_W69,PRZCMPGN_W69,VOTEGEN_W69,VOTEGEN3_W69,DTFORAGNST_W69,JBFORAGNST_W69,SATISPRESCAND_W69,ECON1_W69,ECON1B_W69,NATPROBS_a_W69,NATPROBS_b_W69,NATPROBS_c_W69,NATPROBS_d_W69,NATPROBS_e_W69,NATPROBS_f_W69,NATPROBS_g_W69,NATPROBS_h_W69,NATPROBS_i_W69,NATPROBS_j_W69,CENDONE_W69,CENPARTICMOD_W69,CENCOUNT_W69,CENKNOCK_W69,VTEARLYDOC_W69,COVID_DOC_W69,PRESGOODTRUMP_W69,PRESGOODBIDEN_W69,DTCONF_a_W69,DTCONF_b_W69,DTCONF_c_W69,DTCONF_d_W69,DTCONF_e_W69,DTCONF_f_W69,JBCONF_a_W69,JBCONF_b_W69,JBCONF_c_W69,JBCONF_d_W69,JBCONF_e_W69,JBCONF_f_W69,COVID_FUT_W69,C_SHOULDMASK_W69,C_MASKREACT_W69,COVID_COMFORT_a_W69,COVID_COMFORT_b_W69,COVID_COMFORT_c_W69,COVID_COMFORT_d_W69,COVID_COMFORT_e_W69,COVID_COMFORT_f_W69,COVID_COMFORT_g_W69,COVID_COMFORT_COMB_W69,COVID_INDIMPCT_W69,COVID_2ASSIST_W69,COVID_ECONPRIO_a_W69,COVID_ECONPRIO_b_W69,COVID_ECONPRIO_c_W69,COVID_ECONPRIO_d_W69,COVID_ECONPRIO_e_W69,COVID_LIABILITY_W69,COVID_INFECT_a_W69,COVID_INFECT_b_W69,TRUMPDESC_a_W69,TRUMPDESC_b_W69,TRUMPDESC_c_W69,TRUMPDESC_d_W69,TRUMPDESC_e_W69,TRUMPDESC_f_W69,BIDENDESC_a_W69,BIDENDESC_b_W69,BIDENDESC_c_W69,BIDENDESC_d_W69,BIDENDESC_e_W69,BIDENDESC_f_W69,TRUMPTAX_W69,DTTONE_W69,POLICE3F2_a_W69,POLICE3F2_b_W69,POLICE3F2_c_W69,POLICE3F2_d_W69,GOVNEEDY_W69,VTCHNGRULES_W69,EXCPWER_W69,POLICE_FUND_W69,POLICE_POLICIES_a_W69,POLICE_POLICIES_b_W69,POLICE_POLICIES_c_W69,POLICE_POLICIES_d_W69,POLICE_POLICIES_e_W69,POLICEQ_IMMUNITY_W69,SNSUSE_W69,SM10_a_W69,SM10_b_W69,SM10_c_W69,SM10_e_W69,SM11_a_W69,SM11_b_W69,SM11_c_W69,TECHREG1F1_W69,TECHREG1F2_W69,TECHREG2_W69,TECHPOW_W69,TC5_W69,TC6b_W69,SM7_W69,RACE_SERMON_W69,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_NATIVITY2,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,F_INC_TIER2,F_HISP_ORIGIN,F_YEARSINUS,F_PARTYSUMIDEO,POL1DT_W59,POL1DTSTR_W59,POL1DT_W64,POL1DTSTR_W64,DEMFIELD_W59,TRUMPDEM2020_W59,DEM1_CODE_FINAL_W59,COVID_DEATHS_CNTY_W69,BATTLE_NARROW_W69,WEIGHT_W69_CENSUS,WEIGHT_W59_W69,WEIGHT_W64_W69,WEIGHT_W69
100260,2020-6-17 16:20:46.000,2020-6-17 16:36:5.000,3,1,2,2,1,1,1,1,2,1,1,2,1, ,1, ,1,2,1,3,3,2,1,2,2,1,2,4,3,1, ,2, ,1,2,1,5,1,1,1,1,1,1,4,4,4,4,4,4,1,4,1,1, , , ,1,1,1,1,3,2,3,3,2,2,3,1,3,3,1,1,1,1,1,1,4,4,2,4,4,4,2, ,2,2,2,2,2,1,2,3,4,3,2,3,1,1,2, , , , , , , , ,4,4,1,3, ,1,3,1,4,9,4,1,1,5,2,1,1,1,1,6,12, ,5,1, ,1,6,2,1,1,1,2,2,6,1,1,1,1,1,1, ,1, ,2,1,0.7259671223837578,0.6272713320551427,0.617936009359436,0.7319212318308284
100637,2020-6-18 14:48:14.000,2020-6-18 15:3:26.000,1,1,2,2,1,1,1,2,1,1,2,1,1, ,1, ,1,2,1,3,3,3,1,2,2,1,3,3,1,3,1,3, ,2, ,1,5,1,1,1,2,1,3,4,4,4,4,4,4,1,4,3,1, , , ,1,2,1,1,3,1,2,3,1,2,1,2,3,4,1,2,3,2,1,1,4,4,3,4,4,4,2, ,3,2,2,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,2,4,4,4, ,4,4,1,1, ,1,2,1,3,5,3,2,2,4,2,1,1,1,1,1,1,1,3,3,1,1,4,2,1,2,1,2,2,6,1,1,1,1,1,1, ,1, ,2,3,1.3494299480044682,0.6754638453876008,0.707802384563748,0.7621272666938852
101472,2020-6-19 10:45:50.000,2020-6-19 10:55:23.000,2,1,1,2,2,1,3,2,2,1,1,2,3,2, ,2,4,2,3,2,1,3,2,3,2,3,2,3,3,1, ,1, ,2, ,5,3,4,4,3,3,3,4,3,2,2,2,2,2,1,2,1,1,1,2,2, , , ,1,1,1,2,4,2,3,3,2,2,3,4,4,4,3,4,3,3,2,2,2,3,2, ,2,3,3,3,2,1,2,2,2,1,3,3,3,1,2,1,2,2,2,1,3,3,3,3, ,3,3,3,3, ,2,1,3,7,2,1,1,6,2,1,1,1,1,1,2,2,5,3,1,1,7,1,3,3,2,2,3,6,1,2,2,2,2,1, ,5, ,2,4,1.7469539784022285,1.6850284516246583,1.7612633160818703,2.052434142605682
101493,2020-6-17 10:48:28.000,2020-6-17 12:33:47.000,2,1,2,2,1,1,2,1,1,2,1,1,1, ,1, ,4,1,1,3,2,2,1,1,2,1,4,4,1,1, ,4, ,2, ,1,5,1,1,1,1,1,1,4,4,4,4,4,4,2,1,1,1, , , ,1,2,1,1,1,2,1,3,1,2,4,1,3,4,1,1,2,1,1,1,4,4,4,4,4,4,2, ,2,1,2,3,2,1,99,5,2,2,4,3,1,1,1,1,1,1,1,2,1,1, ,4,4,1,1, ,1,1,1,4,9,3,1,2,3,1,1,3,1,1,1,10, ,6,1, ,1,6,2,1,2,1,2,2,1,1,1,1,1,1,1, ,1, ,1,1,0.8003699650501626,0.8668663802477705,0.9633645897670713,0.9322178968568193
103094,2020-6-17 18:27:16.000,2020-6-19 14:14:5.000,2,1,1,2,99, ,3,1,1,1,2,4, , , ,2,4,4,2,1,1,1,1,1,1,1,1,1,1,1, ,3, ,1,1,5,3,3,2,3,3,2,3,2,2,2,2,2,2,2,1,3,1,1,2,2, , , ,1,2,99,2,2,2,2,1,1,2,2,2,2,2,2,3,1,3,2,2,2,2,1, ,2,2,3,2,2,1,2,2,4,2,2,3,2,2,2,2, , , , , , , ,2, ,3,1,2,1, ,2,1,1,2,2,2,3,2,99,99,99,99,1,99,2,99,99,4,2,2,2,3, ,99,1,99,99,6,1,9,2,1,2,1,3, ,99,2,3,2.4390165116485543,3.163657274096003,2.894057482548047,3.146018712635122
103538,2020-6-17 15:9:48.000,2020-6-17 15:31:16.000,1,1,2,2,2,1,2,2,1,2,2,3,2, , ,2,4,4,1,3,1,2,1,2,2,3,1,3,2,1, ,2, ,2, ,5,3,4,2,3,4,4,4,2,1,1,2,2,2,2,1,1,2, , , ,2,2,2,2,1,1,1,1,1,1,4,99,3,2,4,4,4,4,3,4,3,2,2,2,3,2,1, ,4,3,2,2,2,2,2,3,1,1,1,1,1,2,2, , , , , , , , ,1,4,1,1, ,1,3,1,4,8,3,1,1,5,2,1,1,1,1,1,2,2,5,3,2,2,9,1,1,3,1,2,3,6,1,3,2,1,2,1,3,5,24,2,2,0.5260533105489088,0.5578232917696739,0.542833543554545,0.5709243079397142
103611,2020-6-17 12:45:57.000,2020-6-17 13:20:6.000,2,1,1,2,2,1,3,1,1,2,2,1,2, , ,2,3,3,2,3,1,1,1,2,2,1,3,1,2,1, ,3, ,1,1,4,3,3,2,3,3,2,3,2,2,2,4,2,2,2,1,1,1,1,2,2, , , ,1,1,2,2,3,2,2,3,1,2,2,3,3,4,4,3,4,2,2,1,2,2,2, ,2,2,2,1,1,1,1,2,1,2,2,3,3,2,1,1,2,2,2,2,3,3,3,3, ,2,1,3,2, ,2,1,1,2,4,2,1,6,2,1,1,1,1,6,2,2,2,3,1,1,3,3,1,3,1,1,2,6,1,2,2,2,2,1, ,5, ,3,1,1.0396833270611674,1.067389829124317,1.1008411780536227,1.0646643954873696
104210,2020-6-18 10:42:46.000,2020-6-18 11:3:13.000,2,1,2,2,2,1,2,1,1,2,2,2,2, , ,2,3,4,3,1,1,4,1,3,1,4,1,1,3,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,2,1,2,2,2,2,3,1,1, , , ,2,2,2,2,1,1,1,1,1,1,3,2,1,1,4,4,4,4,4,4,2,2,1,2,2,1,1, ,4,4,4,4,1,2,2,5,1,1,1,1,1,2,1,1,2,1,1,3,1,1, ,1,2,1,3, ,1,3,1,1,2,2,2,3,2,2,1,1,1,1,2,12, ,6,4,2,2,2,3,1,5,1,2,1,6,1,4,2,1,2,1,1,4,19,3,3,1.113826551060611,1.0810177591687797,1.0498914929683116,1.285842977938012
104368,2020-6-17 13:15:11.000,2020-6-17 14:9:37.000,1,1,2,2,2,1,2,2,1,1,2,2,3,2, ,2,4,2,1,2,2,1,2,3,1,3,2,1,1,1, ,1, ,2, ,5,4,3,2,2,4,1,4,3,4,4,3,3,4,1,2,3,1, , , ,1,2,1,1,1,2,2,4,4,2,4,1,2,2,4,4,4,4,4,4,4,4,3,3,4,4,1, ,4,4,4,4,2,2,2,3,2,1,3,3,1,2,1,2,2,2,2,4,4,4, ,2,4,3,1, ,2,2,1,3,7,4,1,3,2,2,1,1,1,1,5,1,1,1,3,1,1,3,3,1,2,1,1,2,6,1,1,2,2,2,1, ,5, ,3,5,0.4351894029303968,0.4623294839597552,0.4625740955473625,0.46852772802350395
104491,2020-6-17 14:32:36.000,2020-6-17 14:52:31.000,1,1,2,2,2,1,1,1,1,2,2,1,2, , ,1,2,4,2,1,1,1,1,1,1,3,1,1,2,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,1,1,1,1,1,2,1,3,2, , , ,2,2,2,2,1,1,1,1,2,1,2,2,2,1,4,4,4,4,4,4,1,1,1,1,1,1,1, ,4,3,4,4,1,2,2,5,1,1,1,1,1,2,1,1,2,2,1,2,2,2, ,4,3,1,1, ,1,3,1,4,9,4,2,2,3,2,1,1,1,6,1,12, ,6,2, ,2,6,2,1,5,1,2,2,6,4,4,2,1,2,1,2,4,19,3,1,1.1719257134919536,1.3456337953411883,1.3668632944578576,1.2670527032742154
